TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
50608	[[0][1,2,3,4,5,6,]]	6	1200000	15890.2	15891.2	0.0548675	377482	99.9771	25.3102	
51108	[[0][1,2,3,4,5,6,]]	6	1200000	15894.8	15891.5	0.0553477	377474	99.977	25.1877	
51609	[[0][1,2,3,4,5,6,]]	6	1200000	15902	15891	0.0504167	377484	99.9769	25.0499	
52109	[[0][1,2,3,4,5,6,]]	6	1200000	15881.9	15890.3	0.0535949	377503	99.977	24.9785	
52609	[[0][1,2,3,4,5,6,]]	6	1200000	15892.9	15891	0.0528936	377486	99.9769	24.9994	
53110	[[0][1,2,3,4,5,6,]]	6	1200000	15889.1	15891.8	0.0481872	377466	99.9769	25.0223	
53610	[[0][1,2,3,4,5,6,]]	6	1200000	15910.1	15893.6	0.0605024	377425	99.9771	25.1172	
54111	[[0][1,2,3,4,5,6,]]	6	1200000	15906.8	15893.7	0.0615981	377422	99.9771	25.2167	
54611	[[0][1,2,3,4,5,6,]]	6	1200000	15894	15894.8	0.0564194	377395	99.9772	25.2617	
55112	[[0][1,2,3,4,5,6,]]	6	1200000	15895.3	15895.7	0.0532989	377374	99.9772	25.3122	
55612	[[0][1,2,3,4,5,6,]]	6	1200000	15895.3	15896.2	0.0519095	377363	99.9773	25.3649	
56113	[[0][1,2,3,4,5,6,]]	6	1200000	15900	15896.7	0.0522956	377350	99.9773	25.4266	
56613	[[0][1,2,3,4,5,6,]]	6	1200000	15893.1	15895.9	0.0513544	377371	99.9773	25.4982	
57113	[[0][1,2,3,4,5,6,]]	6	1200000	15848.2	15892.5	0.106136	377451	99.9771	25.5169	
57614	[[0][1,2,3,4,5,6,]]	6	1200000	15869.3	15890.1	0.115732	377507	99.9772	25.4295	
58114	[[0][1,2,3,4,5,6,]]	6	1200000	15874.4	15888.7	0.119953	377542	99.9771	25.3493	
58615	[[0][1,2,3,4,5,6,]]	6	1200000	15897.8	15887.4	0.112548	377571	99.977	25.2569	
59115	[[0][1,2,3,4,5,6,]]	6	1200000	15886.9	15885.4	0.104136	377618	99.9769	25.2076	
59616	[[0][1,2,3,4,5,6,]]	6	1200000	15890.1	15885	0.102997	377627	99.9768	25.1567	
60116	[[0][1,2,3,4,5,6,]]	6	1200000	15882.9	15883.8	0.100487	377656	99.9768	25.1247	
60617	[[0][1,2,3,4,5,6,]]	6	1200000	15885.2	15882.8	0.0973489	377680	99.9768	24.9698	
