#Workers	Frequency	Time	Watts	Bandwidth
18	1800000	122.996	70.8228	60.9451
18	1900000	116.517	75.0572	64.334
18	2000000	110.181	79.558	68.0335
18	2100000	105.75	83.9947	70.8842
18	2200000	100.879	88.4345	74.3068
18	2300000	96.92	92.4742	77.3421
18	2400000	92.568	97.7425	80.9783
19	1200000	173.092	49.0563	43.3064
19	1300000	159.031	52.7594	47.1355
19	1400000	149.049	56.6131	50.2922
19	1500000	138.431	60.8396	54.1497
19	1600000	129.99	64.8416	57.666
19	1700000	122.644	69.0306	61.12
19	1800000	116.707	73.1098	64.2292
19	1900000	110.134	77.6594	68.0625
19	2000000	104.266	82.3587	71.893
19	2100000	100.47	86.5722	74.6093
19	2200000	95.756	91.1045	78.2823
19	2300000	91.675	95.8266	81.7671
19	2400000	87.607	100.555	85.5639
20	1200000	164.648	50.8133	45.5274
20	1300000	151.94	54.47	49.3353
20	1400000	140.552	58.7096	53.3326
20	1500000	131.932	63.1247	56.8171
20	1600000	124.104	67.1226	60.401
20	1700000	116.296	71.2359	64.4562
20	1800000	110.213	75.9548	68.0138
20	1900000	105.531	80.1587	71.0313
20	2000000	100.049	84.4955	74.9233
20	2100000	95.532	89.4901	78.4659
20	2200000	90.636	94.2575	82.7044
20	2300000	86.885	99.2402	86.275
20	2400000	84.108	103.77	89.1235
21	1200000	156.994	51.9997	47.747
21	1300000	145.168	55.7618	51.6367
21	1400000	134.33	60.2832	55.8029
21	1500000	125.424	64.7182	59.7653
21	1600000	118.845	68.765	63.0738
21	1700000	111.789	73.2393	67.0549
21	1800000	105.464	78.0515	71.0764
21	1900000	100.134	82.6746	74.8597
21	2000000	95.325	87.3165	78.6362
21	2100000	90.785	92.3117	82.5687
21	2200000	86.83	97.1298	86.3296
21	2300000	83.125	102.385	90.1774
21	2400000	80.225	107.067	93.4372
22	1200000	150.56	53.2411	49.7875
22	1300000	138.58	57.2967	54.0915
22	1400000	128.999	61.6712	58.109
22	1500000	120.366	66.0736	62.2767
22	1600000	113.063	70.6589	66.2993
22	1700000	106.459	75.3256	70.4121
22	1800000	101.498	79.84	73.8537
22	1900000	96.462	84.4499	77.7094
22	2000000	90.779	89.7967	82.5742
22	2100000	87.343	94.3438	85.8226
22	2200000	83.853	99.182	89.3945
22	2300000	79.915	104.661	93.7997
22	2400000	76.823	109.86	97.5749
