#Workers	Frequency	Time	Watts
21	1600000	12.909	63.2704
21	1700000	12.046	67.031
21	1800000	11.417	72.6061
21	1900000	11.422	75.845
21	2000000	11.348	79.1883
21	2100000	10.184	86.4757
21	2200000	9.244	89.9022
21	2300000	9.142	95.8299
21	2400000	9.004	98.002
22	1200000	17.363	49.355
22	1300000	15.33	52.9662
22	1400000	14.365	57.3947
22	1500000	14.38	60.2622
22	1600000	13.357	64.8269
22	1700000	12.163	67.6734
22	1800000	12.241	73.2576
22	1900000	10.828	77.9431
22	2000000	11.26	81.1431
22	2100000	10.4	86.4796
22	2200000	9.796	90.9645
22	2300000	9.488	96.648
22	2400000	9.039	99.5947
