#Workers	Frequency	Time	Watts
21	1200000	36.223	51.0985
21	1300000	34.744	54.6815
21	1400000	29.864	58.6945
21	1500000	28.33	62.6435
21	1600000	28.478	67.4211
21	1700000	26.283	72.1461
21	1800000	24.684	77.0622
21	1900000	24.869	80.9699
21	2000000	21.038	85.8558
21	2100000	22.496	90.1959
21	2200000	19.802	95.4386
21	2300000	20.061	101.874
21	2400000	18.984	106.092
22	1200000	38.174	51.4903
22	1300000	34.153	55.5664
22	1400000	31.052	59.6295
22	1500000	30.977	63.7717
22	1600000	28.884	68.2096
22	1700000	27.323	72.7844
22	1800000	26.387	76.7509
22	1900000	24.38	81.8279
22	2000000	24.288	86.2288
22	2100000	22.235	92.2655
22	2200000	21.879	96.4448
22	2300000	20.206	102.259
22	2400000	19.878	106.497
