TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	SmoothedWatts	
68137	[[0][1,2,3,4,5,]]	5	1200000	13238.8	13239.1	0.100209	377581	99.9768	24.3552	
68638	[[0][1,2,3,4,5,]]	5	1200000	13258	13241.6	0.107968	377510	99.9768	24.3587	
69138	[[0][1,2,3,4,5,]]	5	1200000	13239.5	13239.7	0.0982502	377563	99.9766	24.3663	
69639	[[0][1,2,3,4,5,]]	5	1200000	13235.3	13240.3	0.0957894	377548	99.9766	24.3625	
70139	[[0][1,2,3,4,5,]]	5	1200000	13253.1	13242.6	0.0960203	377482	99.9765	24.3545	
70640	[[0][1,2,3,4,5,]]	5	1200000	13220.4	13239.5	0.10603	377570	99.9765	24.2294	
71140	[[0][1,2,3,4,5,]]	5	1200000	13235.1	13240.1	0.102958	377552	99.9765	24.3152	
71641	[[0][1,2,3,4,5,]]	5	1200000	13251.9	13242.9	0.0970839	377474	99.9765	24.3863	
72141	[[0][1,2,3,4,5,]]	5	1200000	13234.3	13240.1	0.0846187	377552	99.9765	24.385	
72641	[[0][1,2,3,4,5,]]	5	1200000	13230.7	13239.7	0.0868009	377563	99.9765	24.3549	
